Website,Address,Done?
10 Barrel Brewing Co.,"1501 E St, San Diego, CA 92101",
2Kids Brewing Co.,"8680 Miralani Drive #123, San Diego, CA 92126",
32 North Brewing,"8555 Production Avenue, Suite A, San Diego, CA 92121",1
Abnormal Beer Company,"16990 Via Tazon, Suite 124, San Diego, CA 92127",
Acoustic Ales Brewing Experiment,"1795 Hancock Street, Suite P1, San Diego, CA 92110",
AleSmith Brewing Company,"9990 AleSmith Ct., San Diego, CA 92126",
Align Brewing Co.,"8680 Miralani Dr, San Diego, CA 92121",
Alpine Beer Company,"2351 Alpine Boulevard, Alpine CA 91901",
Amplified Ale Works,"4150 Mission Blvd #208, San Diego, CA 92109",
Amplified Ale Works,"9030 Kenamar Drive, Unit 309, San Diego, CA 92121",
Arcana Brewing Co.,"5621 Palmer Way, Suite C, Carlsbad, CA 92010",
Automatic Brewing Company,"3416 Adams Avenue, San Diego, CA 92116",
Aztec Brewing Company,"2330 La Mirada Dr. Suite 300, Vista CA 92081",
Back Street Brewery,"15 Main Street, Suite #100, Vista, CA 92084",
Bagby Beer Company,"601 South Coast Highway, Oceanside CA 92054",
Ballast Point Brewing & Spirits - Scripps Ranch,"10051 Old Grove Road, San Diego, CA 92131",
Ballast Point Brewing & Spirits - Home Brew Mart,"5401 Linda Vista Rd., Suite 406, San Diego, CA 92110",
Ballast Point Brewing & Spirits - Little Italy,"2215 India Street, San Diego, CA 92101",
Barn Brewery,"2850 El Cajon Boulevard Ste 3, San Diego, CA 92104",
Barrel Harbor,"2575 Pioneer Avenue #104, Vista, CA 92081",
Barrel Rescue,"8125 Ronson Rd, Unit F, San Diego, CA 92111",
Battlemage Brewing Company,"2870 Scott St, Vista, CA 92081",
Bay Bridge Brewing,"688 Marsat Court Suite B, Chula Vista, CA 91911",
Bay City Brewing,"3760 Hancock St, San Diego, CA 92110",
Bear Roots Brewing Co.,"1213 S. Santa Fe Avenue, Vista, CA 92083",
Belching Beaver Brewery,"980 Park Center Drive, Suite A, Vista, CA 92081",
Belching Beaver Brewery,"1334 Rocky Point Dr, Oceanside, CA 92056",
Belching Beaver Brewery Tavern & Grill,"302 East Broadway, Vista, CA 92084",
Benchmark Brewing,"6190 Fairmount ave. Suite G, San Diego, CA 92120",
Bitter Brothers Brewing,"4170 Morena Blvd, San Diego, CA 92117",
Black Plague Brewing,"2550 Jason Ct, Oceanside, CA 92056",
BNS Brewing & Distilling,"10960 Wheatlands Avenue #101, Santee, CA 92071",
Bolt Brewing Co.,"8179 Center Street, La Mesa, CA 91942",
Booze Brothers Brewing Co.,"2545 Progress St. Suite D, Vista, CA 92081",
Border X Brewing,"8684 Avenida de la Fuente Suite 8, San Diego, CA 92154",
Breakwater Brewing Company,"101 N. Coast Highway, Oceanside, CA 92054",
Burgeon Beer Company,"6350 Yarrow Dr, Suite C, Carlsbad, CA 92011",
Burning Beard Brewing Company,"785 Vernon Way, El Cajon, CA 92020",
California Wild Ales,"4202 Sorrento Valley BLVD, Suite L&M, San Diego, CA 92121",
ChuckAlek Independent Brewers,"2330 Main St, Suite C, Ramona, CA 92065",
Chula Vista Brewery,"294 3rd Ave, Chula Vista, CA 91910",
Circle 9 Brewing,"7292 Opportunity Rd, San Diego, CA 92111",
Coronado Brewing Company,"170 Orange Avenue, Coronado, CA 92118",
Coronado Brewing Company,"1205 Knoxville Street, San Diego, CA 92110",
Council Brewing Co.,"7705 Convoy Court, San Diego, CA 92111",
Culture Brewing Co.,"111 S. Cedros Ave Suite 200, Solana Beach, CA 92075",
Culver Beer Co.,"2719 Loker Avenue West Suite D, Carlsbad, CA, 92010",
Deft Brewing,"5328 Banks Street, Ste A, San Diego, CA 92110",
Division 23 Brewing,"7408 Trade St, San Diego, California 92121",
Dos Desperados Brewing,"1241 Linda Vista Drive, San Marcos, CA 92078",
Duck Foot Brewing Co.,"8920 Kenamar Dr. Suite #210, San Diego, CA 92121",1
Ebullition Brew Works,"2449 Cades, Suite D, Vista, CA 92081",
Eppig Brewing,"3052 El Cajon Blvd., Suite C San Diego, CA 92104",
Escondido Brewing Company,"649 Rock Springs Road, Escondido, CA 92025",
Fall Brewing Co.,"4532 30th Street, San Diego, CA 92104",
Fallbrook Brewing Company,"136 N Main Ave, Fallbrook, CA",
Finest Made Ales,"9962 Prospect Ave, Santee, CA 92071",
Gordon Biersch Brewery Restaurant,"5010 Mission Center Road, San Diego, CA 92108",
Green Flash Brewing Co.,"6550 Mira Mesa Blvd., San Diego, CA 92121",1
Groundswell Brewing Co.,"6304 Riverdale Street, San Diego, CA 92120",
Groundswell Brewing Co.,"10151 Prospect Avenue, Santee, CA 92071",
Guadalupe Brewery,"5650 El Camino Real, Carlsbad, CA 92008",
Half Door Brewing Co.,"903 Island Avenue, San Diego, CA 92101",
Helm's Brewing,"5640 Kearny Mesa Rd, Suite C/N, San Diego, CA 92111",
Helix Brewing Co.,"8101 Commercial Street, La Mesa, CA 91942",
Hillcrest Brewing Company,"1458 University Ave, San Diego, CA 92103",
Home Brewing Co.,"2911 El Cajon Boulevard, Space #2, San Diego, CA 92104",
Horus Aged Ales,"Oceanside, CA 92154",
Indian Joe Brewing,"2123 Industrial Ct, Vista, CA 92081",
Intergalactic Brewing Co,"9835 Carroll Centre, Suite 108, San Diego, CA 92126",
Iron Fist Brewing Company,"1305 Hot Spring Way #101, Vista, CA 92081",
Jacked Up Brewing,"800 West Grand Ave, Escondido, CA 92025",
Jamul Brewing Co.,"Jamul, CA 91935",
Julian Brewing Company,"2315 Main Street, Julian, CA 92036",
Karl Strauss 4S Ranch,"10448 Reserve Drive, San Diego, CA 92127",
Karl Strauss Carlsbad,"5801 Armada Drive, Carlsbad, CA 92008",
Karl Strauss Downtown,"1157 Columbia Street, San Diego, CA 92101",
Karl Strauss La Jolla,"1044 Wall Street, La Jolla, CA 92037",
Karl Strauss,"5985 Santa Fe Street, San Diego, CA 92109",
Karl Strauss Sorrento Mesa,"9675 Scranton Rd, San Diego, CA 92121",
Kensington Brewing Company,"5839 Mission Gorge Road, Suite E, San Diego, CA 92120",
Kilowatt Brewing Company,"7576 Clairemont Mesa Blvd., San Diego, CA 92111",
KnB Brewery,"6380 Del Cerro Blvd, San Diego, CA 92120",
Knotty Brewing Co.,"842 Market St, San Diego, CA 92101",
